队名,队员号,出场次数,首发次数,上场时间,投篮命中次数,投篮出手次数,篮板总数,盖帽,得分,总命中率
3,15,9,0,1.9,0.2,0.4,0.2,0,0.4,0.5
3,16,24,0,2.5,0.1,0.5,0.3,0.2,0.3,0.2
3,17,1,0,2,0,0,0,0,0,0
3,18,1,0,1,0,0,0,0,0,0
3,19,1,0,2,0,0,0,0,0,0
4,0,65,65,38.7,6.5,14,5.8,0.6,20,0.464285714
4,1,78,78,34.4,7.3,14.8,11.8,1.9,18.5,0.493243243
4,2,51,51,30,6.6,16.4,3.2,0.3,17.7,0.402439024
4,3,82,21,23,4.2,10,2,0.2,11.6,0.42
4,4,62,17,27.3,4.1,8.2,6.4,1.2,10.3,0.5
4,5,82,3,20.2,3.1,7.6,4.9,0.7,10.2,0.407894737
4,6,63,63,29.2,3.3,7.6,3.9,0.3,9.4,0.434210526
4,7,67,67,30.6,2.8,6.4,9.6,1.1,7.2,0.4375
4,8,72,22,19.6,2.2,5.2,2.4,0.2,6,0.423076923
4,9,66,22,24.4,2.2,5.8,1.8,0.2,5.7,0.379310345
4,10,36,0,8.9,1.2,3,1.2,0,3,0.4
4,11,56,0,8.9,1.1,2.5,0.8,0.1,2.7,0.44
4,12,23,0,5.7,0.6,1.3,1.7,0.2,1.2,0.461538462
4,13,18,1,3.7,0.2,0.8,0.4,0.1,0.6,0.25
5,0,67,67,36.9,7,15.4,5.3,0.6,20.9,0.454545455
5,1,72,72,31.9,6.5,13.8,11,2,16.5,0.471014493
5,2,66,66,31.7,6.8,15.9,3.4,0.2,16.4,0.427672956
5,3,66,38,25,3.8,9.2,5.5,0.7,11.8,0.413043478
5,4,81,4,23,3.6,8,2.4,0.1,9.4,0.45
5,5,73,55,26.5,3.6,6.8,6.9,1.1,8.6,0.529411765
5,6,59,22,21.4,3.2,6.6,2.3,0.3,7.5,0.484848485
5,7,31,30,22.6,2.5,6.1,2.7,0.3,7.2,0.409836066
5,8,69,0,16.1,2.7,6.8,1.5,0.1,7.1,0.397058824
5,9,62,4,17.8,3,7,5.4,0.4,7,0.428571429
5,10,27,4,18.8,2.4,5.7,2.3,0.6,6.5,0.421052632
5,11,64,33,20.3,2,5.3,3.1,0.3,5.3,0.377358491
5,12,29,2,21.9,1.8,4.6,8.8,1,4.3,0.391304348
5,13,35,7,15.9,1.3,3.4,1.7,0,3.8,0.382352941
5,14,31,4,10.3,1.3,2.3,3.3,0.4,3.4,0.565217391
5,15,18,2,5.7,0.7,2.2,1.6,0.2,1.9,0.318181818
6,0,76,75,36.9,7.5,16.5,6.2,0.4,23.9,0.454545455
6,1,60,59,29.9,6.9,15.9,4.5,0.7,18.3,0.433962264
6,2,55,55,27.4,5,9.6,6.9,0.9,11.6,0.520833333
6,3,70,15,24,3.7,8.9,5.5,0.8,10.6,0.415730337
6,4,81,81,28.1,4.7,9.6,6.4,1.4,10.4,0.489583333
6,5,44,4,24.5,3.8,8.5,3,0.1,10.2,0.447058824
6,6,69,42,26.7,3.3,8.1,5.1,0.2,7.8,0.407407407
6,7,64,13,15.7,2.9,5.9,4.6,0.2,6.8,0.491525424
6,8,45,19,18.8,2.5,6.8,3.4,0.5,6.6,0.367647059
6,9,63,28,16.3,2,4.8,1.8,0.1,5.9,0.416666667
6,10,44,18,19.1,2,5,2.8,0.4,5.5,0.4
6,11,57,0,17.1,1.8,5.1,2.6,0.1,5.1,0.352941176
6,12,11,0,13.1,1.9,5.7,1.5,0,4.9,0.333333333
6,13,66,0,15.7,1.9,3.3,4.7,0.3,4.8,0.575757576
6,14,39,0,15.2,1.6,4.4,1.3,0,4.6,0.363636364
6,15,9,0,9.7,1.3,3.2,0.2,0,4.6,0.40625
6,16,20,1,12.2,1.9,4.6,3.4,0,4.5,0.413043478
6,17,3,0,3.3,0,0.3,0.3,0,0,0
7,0,56,38,32.9,6.7,15.6,6.7,0.5,18,0.429487179
7,1,15,9,25.3,5,11.9,2.4,0.4,13.9,0.420168067
7,2,80,66,28.2,5.4,11.7,8.7,0.7,13.8,0.461538462
7,3,81,38,26.3,4.5,9.6,3.1,0.1,13.3,0.46875
7,4,36,34,29.6,4.9,12.8,2.7,0.3,13.3,0.3828125
7,5,67,15,27.8,3.9,9.9,2.6,0.3,11.6,0.393939394
7,6,31,31,32.1,3.7,7,9.7,1.2,9.1,0.528571429
7,7,72,65,29,3.1,7.7,3,0.1,8.3,0.402597403
7,8,37,10,18.9,3,6.5,4.3,0.5,7.8,0.461538462
7,9,40,29,24.3,2.7,5.9,3.9,0.4,7.4,0.457627119
7,10,44,18,21.5,3,7,2.8,0.6,6.9,0.428571429
7,11,21,0,19,2.4,6.4,4.2,0.5,6.2,0.375
7,12,54,15,17.3,2,5.4,2.6,0.1,5.9,0.37037037
7,13,70,16,16.9,1.9,3.1,2.7,0.6,5.3,0.612903226
7,14,39,8,15,2.1,4.6,2.2,0.2,5.2,0.456521739
7,15,14,3,13.4,2.1,4.2,2.7,0.2,5,0.5
7,16,40,13,19.1,1.9,4.7,3,0.7,4.7,0.404255319
7,17,26,1,15,1.6,4.8,1.8,0.1,4,0.333333333
7,18,4,1,16,1,3.5,2.8,0.8,3.3,0.285714286
8,0,51,51,30.5,6.9,14.6,3.7,0.4,18.5,0.47260274
8,1,65,65,33.1,6.5,16.1,6.3,0.7,17.2,0.403726708
8,2,13,0,24.2,4.5,11.6,3.5,0.2,12.7,0.387931034
8,3,25,25,31.4,4.6,8.9,11.5,0.7,10.8,0.516853933
8,4,63,31,29,3.6,8.7,5.1,0.3,10.6,0.413793103
8,5,41,4,24.5,3.4,8.6,3.1,0,10.5,0.395348837
8,6,60,25,23.7,3.2,7.4,6.5,1,8.2,0.432432432
8,7,35,7,26.2,2.5,7.1,2.9,0.5,7.5,0.352112676
8,8,51,51,25.1,2.8,6.4,2.7,0.1,7.2,0.4375
8,9,65,35,20.6,2.6,6.3,3.5,0.3,7.1,0.412698413
8,10,26,5,17.5,2.3,5.8,2.7,0.2,6.7,0.396551724
8,11,25,11,24.3,2.8,7,2.4,0.1,6.6,0.4
8,12,2,0,29.5,2.5,6,3.5,0,6,0.416666667
8,13,54,0,15.3,1.9,4.3,3.3,0.4,5.4,0.441860465
8,14,24,7,15.1,1.2,2.3,2.3,0.5,3.7,0.52173913
8,15,5,3,19,1.4,4.8,1,0.2,3.6,0.291666667
8,16,28,9,11.9,1.4,2.6,2.6,0.2,3.5,0.538461538
8,17,21,1,11,1.1,3.1,2.5,0.1,2.9,0.35483871
8,18,21,0,14.2,0.9,2.4,1.7,0,2,0.375
8,19,2,0,6.5,1,2.5,2,0,2,0.4
8,20,6,0,13.8,0.5,3.2,2,0.7,1.5,0.15625
9,0,59,59,34.7,8.2,18.1,3.7,0.4,22.5,0.453038674
9,1,61,48,28.8,5.5,13.4,2.4,0.3,14.7,0.410447761
9,2,25,25,36,5.5,11.6,14.4,0.6,14.1,0.474137931
9,3,82,82,31.3,4.8,9.7,9.4,0.9,11.7,0.494845361
9,4,65,13,21,3.9,9.4,2.7,0.3,11.2,0.414893617
9,5,38,17,25.9,3.8,8.7,3,0.1,10.4,0.436781609
9,6,82,82,31,3.7,9.1,3.9,0.4,10.3,0.406593407
9,7,39,1,18.4,3.9,8.6,5.1,0.7,10.2,0.453488372
9,8,77,55,26.3,3.2,7.3,5.7,0.9,7.9,0.438356164
9,9,25,11,18,3,7.5,1.3,0.1,7.8,0.4
9,10,49,12,23.1,2.9,5.7,2.5,0.6,7.2,0.50877193
9,11,46,3,20.1,1.8,5.4,1.3,0.1,5.4,0.333333333
9,12,20,0,12.9,1.4,3.9,1.4,0,4.1,0.358974359
9,13,43,1,11.7,1.5,3.7,2.7,0.3,4,0.405405405
9,14,50,0,17.1,1.4,3.6,2.9,0.3,3.4,0.388888889
9,15,18,1,10.8,1.2,3.3,1.6,0.2,3.2,0.363636364
9,16,32,0,10.4,1.3,3.3,2.4,0.2,3,0.393939394
9,17,9,0,10.1,1.1,3.1,1.4,0,2.4,0.35483871
9,18,7,0,11.3,0.6,2.3,0.3,0,1.4,0.260869565
10,0,71,71,35.2,7.5,17.4,3.6,0.3,20.8,0.431034483
10,1,70,24,29.6,6.1,14.2,2.8,0.2,15.9,0.429577465
10,2,40,40,33.8,5.3,12.7,5.1,0.1,14.3,0.417322835
10,3,27,25,29.8,5.1,11,7.7,1,13.5,0.463636364
10,4,82,82,31.6,4.4,9.3,9.2,0.4,11.7,0.47311828
10,5,51,34,19.4,3.5,8,2,0.3,9.9,0.4375
10,6,80,31,28.2,3.6,8.7,2.8,0.3,9.5,0.413793103
10,7,24,19,20,3.5,8.5,5.3,1.2,8.4,0.411764706
10,8,65,29,27.7,3.5,7.1,9.7,0.6,8.4,0.492957746
10,9,70,9,15,2.2,4.1,4,0.5,5.7,0.536585366
10,10,45,17,15.5,2,5.3,2.8,0.4,5.2,0.377358491
10,11,72,4,17.7,1.7,4.1,1.7,0.1,4.7,0.414634146
10,12,52,0,12.8,1.5,4.3,3,0.2,4.2,0.348837209
10,13,65,24,15.7,1.5,3.6,2.3,0.2,4,0.416666667
10,14,1,0,9,1,3,1,0,3,0.333333333
10,15,7,0,5.4,1,2,0.9,0,2.7,0.5
10,16,20,0,8.5,0.9,2.3,2.8,0.4,2.2,0.391304348
10,17,22,1,7.1,0.5,1.6,0.7,0,1.7,0.3125
10,18,2,0,5.5,0.5,1.5,1,0,1,0.333333333
10,19,2,0,3.5,0,2,0,0,0.5,0
10,20,2,0,2.5,0,0.5,0.5,0,0,0
11,0,69,69,36.1,9,18.5,6,0.7,25.3,0.486486486
11,1,75,75,36.4,7.7,16.5,3.2,0.3,21.7,0.466666667
11,2,75,75,33.7,5.5,12.7,9.7,0.5,16.4,0.433070866
11,3,46,45,31.8,4.7,11,3.5,0.4,12.7,0.427272727
11,4,46,45,25,4.3,7.3,6.9,1.2,10.6,0.589041096
11,5,33,3,23.8,4.2,10.4,1.7,0.3,10.5,0.403846154
11,6,26,26,24.5,4.3,7.7,6.5,0.6,9.8,0.558441558
11,7,82,15,26.8,3.3,6,8,0.7,8.5,0.55
11,8,38,1,24.2,2.8,6.7,3.8,0.3,7.2,0.417910448
11,9,57,24,19.3,2.1,4.7,3.5,0.5,4.8,0.446808511
11,10,67,13,20.6,1.7,4.6,1.9,0,4.8,0.369565217
11,11,57,2,11.7,1.3,3.5,1.1,0.1,4.4,0.371428571
11,12,51,1,9.6,0.9,2.4,0.8,0,2.7,0.375
11,13,18,0,9.3,1.1,2.3,2.3,0.2,2.4,0.47826087
11,14,52,15,13.5,0.7,2.2,1.8,0.1,2.1,0.318181818
11,15,11,0,8,0.8,3.1,1.4,0,2,0.258064516
11,16,8,0,8.8,0.6,2.4,0.6,0.1,1.9,0.25
11,17,22,1,5.5,0.6,1.4,1.3,0.5,1.6,0.428571429
11,18,12,0,6.6,0.3,1,1.7,0,0.9,0.3
11,19,5,0,2.8,0.2,0.8,0.2,0,0.8,0.25
12,0,76,76,35.7,9.7,18.6,7.4,0.6,25.3,0.521505376
12,1,53,53,31.4,7.4,16.6,3,0.3,19.6,0.445783133
12,2,77,77,31.5,5.3,12.7,9.9,0.5,16,0.417322835
12,3,1,0,42,6,14,5,2,13,0.428571429
12,4,77,77,30.7,4.6,11,2.8,0.3,12.4,0.418181818
12,5,41,14,18.2,3.2,7.4,1.8,0.1,8.2,0.432432432
12,6,82,34,27.7,3,5.1,9,0.6,7.8,0.588235294
12,7,26,3,17.1,2.7,6.2,3.6,0.3,7.5,0.435483871
12,8,76,14,24.6,2.7,6.7,2.1,0.1,7.5,0.402985075
12,9,76,48,17.5,2.7,4.7,4.4,0.8,6.3,0.574468085
12,10,54,5,24.4,2.1,5.6,3.8,0.4,5.8,0.375
12,11,74,5,17.9,1.9,4.2,1.7,0.2,5.5,0.452380952
12,12,15,1,7.5,1.5,3.5,0.8,0.1,4.1,0.428571429
12,13,48,0,9.7,1.2,3,1,0.2,3.7,0.4
12,14,40,3,8.9,0.8,2.3,0.7,0.1,2.6,0.347826087
12,15,31,0,10,1,2.5,2.9,0.2,2.6,0.4
12,16,25,0,3.8,0.4,0.7,1,0.2,0.9,0.571428571
12,17,5,0,3,0.2,0.8,0.6,0,0.6,0.25
13,0,74,74,37.8,9.9,18.2,8.6,0.6,26.4,0.543956044
13,1,72,72,35.1,9.3,19.7,3.2,0.3,25.2,0.472081218
13,2,60,60,31.5,6.2,14.5,11.1,0.4,19,0.427586207
13,3,35,1,24.5,3.7,7.7,2.8,0.2,10.7,0.480519481
13,4,74,15,18.9,3.2,7,3.9,0.5,9.1,0.457142857
13,5,1,0,12,3,8,2,0,9,0.375
13,6,41,35,29,3,8.7,2.8,0.3,8.6,0.344827586
13,7,78,78,30,3.4,5.6,9.2,1.1,8.1,0.607142857
13,8,76,31,25.5,2.6,6.4,2.9,0.4,7.5,0.40625
13,9,24,4,20.3,2.8,6.1,1.9,0.3,7.5,0.459016393
13,10,25,0,17.1,2.2,4.3,2.3,0.1,6.2,0.511627907
13,11,1,0,24,3,4,10,6,6,0.75
13,12,79,13,20.5,1.9,4.3,2.6,0.1,5.7,0.441860465
13,13,23,2,15.9,1.6,3.9,2,0.1,4.6,0.41025641
13,14,37,4,10.4,1.6,4.1,1.1,0.2,4.4,0.390243902
13,15,42,0,9.2,1.5,3.8,1,0.2,4,0.394736842
13,16,48,2,7.9,0.9,1.9,0.8,0.2,2.8,0.473684211
13,17,61,19,12.3,0.9,2.2,1.7,0.2,2.4,0.409090909
13,18,12,0,9.6,0.8,1.8,2.6,0.6,2.3,0.444444444
13,19,5,0,2.4,0.2,0.8,0.8,0.2,0.8,0.25
13,20,1,0,1,0,0,0,0,0,0
14,0,70,54,31.2,5.2,11.8,3.1,0.1,15.5,0.440677966
14,1,55,39,27.2,5.2,12.2,2.3,0.1,14.1,0.426229508
14,2,78,78,32.8,6.1,12.8,4.2,0.5,14.1,0.4765625
14,3,82,27,26,4.1,9.4,2.4,0.2,11.2,0.436170213
14,4,76,11,21.9,4.1,9.3,3.9,0.6,11.1,0.440860215
14,5,80,48,27.8,3.8,6.9,7.5,0.6,9.4,0.550724638
14,6,72,39,23.4,3.2,7.1,3.5,0.5,8,0.450704225
14,7,61,5,18.4,3,6.7,1.2,0.1,7.9,0.447761194
14,8,72,16,20.1,2.7,6.5,3.8,0.5,7.5,0.415384615
14,9,57,29,17.5,3.3,5.6,4.8,0.3,7.4,0.589285714
14,10,57,14,16.3,1.6,3.3,3,0.4,4.2,0.484848485
14,11,22,1,9,1.3,3.1,0.5,0,3.4,0.419354839
14,12,54,49,22.9,1.2,2.8,6.5,1,2.9,0.428571429
15,0,66,66,31.5,6.2,11.8,9.7,0.7,15.4,0.525423729
15,1,55,48,29.9,4.7,10.9,2.6,0.2,14.8,0.431192661
15,2,66,60,32.2,4.8,11.7,3.2,0.2,12.8,0.41025641
15,3,63,63,33.2,5.3,12.7,4.5,0.5,12.7,0.417322835
15,4,52,21,26.9,4.5,10.2,2.3,0.2,12.5,0.441176471
15,5,64,13,22.9,3.3,7.1,4.8,0.3,8.7,0.464788732
15,6,13,0,13.8,2.7,7,3.7,0.4,7,0.385714286
15,7,65,42,22.6,2.8,5.9,5.1,0.8,6.5,0.474576271
15,8,36,0,14.3,2.1,5.4,1.6,0.1,5.7,0.388888889
15,9,41,4,14.7,1.8,5.5,2.2,0.5,4.7,0.327272727
15,10,60,2,15.4,1.3,3.2,1.7,0.2,3.2,0.40625
15,11,28,0,12.8,1.2,3.4,0.9,0,3,0.352941176
15,12,23,0,5.9,0.8,1.5,1.5,0.2,2,0.533333333
15,13,62,11,15.8,0.5,1.4,4.3,0.8,1.4,0.357142857
16,0,81,81,33.2,6.3,13.1,9.6,0.7,16,0.480916031
16,1,75,75,31.5,4.8,11.7,3.3,0.1,13.3,0.41025641
16,2,45,45,32.4,4.8,10.8,4.6,0.3,11.7,0.444444444
16,3,28,28,31.7,4.5,8.5,2.5,0.1,11.6,0.529411765
16,4,76,24,28.5,4,9.8,2.8,0.2,11.5,0.408163265
16,5,65,0,18.7,3.9,8.3,1.5,0.1,9.8,0.469879518
16,6,82,74,28,3.4,7.8,4,0.5,8.8,0.435897436
16,7,60,10,20.7,3.5,5.7,7.6,1.6,7.9,0.614035088
16,8,49,2,18.2,2.9,6.4,3.8,0.2,7.7,0.453125
16,9,72,71,24.9,2.8,6.3,5.7,1.3,6.9,0.444444444
16,10,69,0,15.9,2.5,6.7,3.5,0.6,6.8,0.373134328
16,11,27,0,17.7,2.3,5.2,1.9,0.1,6.1,0.442307692
16,12,18,0,14.2,1.5,4.2,1.4,0.1,5.3,0.357142857
16,13,24,0,14.5,1.8,4,2.6,0.3,5.1,0.45
16,14,25,0,8.8,1.3,1.8,1.8,0.4,3.1,0.722222222
16,15,41,0,10,1,2.7,0.9,0.1,2.9,0.37037037
17,0,77,76,35.5,6.7,16,6.8,1.4,16.4,0.41875
17,1,80,79,34.1,5.3,14.2,3.1,0.1,15.5,0.373239437
17,2,82,82,32.8,6.1,12.4,9.3,0.6,15.2,0.491935484
17,3,73,5,26.7,5.1,11.7,2.3,0.1,13.9,0.435897436
17,4,81,81,32.3,5.9,9.5,13.2,1.6,13.5,0.621052632
17,5,82,36,28.5,3.3,7.3,3.7,0.5,9.6,0.452054795
17,6,56,3,18.8,3.3,7.7,1.8,0.1,8.7,0.428571429
17,7,80,41,19.8,2.3,5.8,2,0.2,5.9,0.396551724
17,8,20,0,9,1.8,4.6,1.7,0.3,4.6,0.391304348
17,9,64,0,11.6,1.5,3.3,2.7,0.1,4.2,0.454545455
17,10,19,7,16.3,1.3,4.2,1.5,0.1,3.8,0.30952381
17,11,32,0,9.8,1.2,2.6,2.4,0.5,2.9,0.461538462
17,12,34,0,6.9,1,2.9,1.4,0,2.4,0.344827586
17,13,24,0,9.3,0.8,2.4,0.6,0,2.3,0.333333333
17,14,21,0,3.8,0.2,0.6,1.2,0.1,1,0.333333333
18,0,27,27,32.3,6.8,15.6,4.7,0.1,17.6,0.435897436
18,1,69,57,31,6.1,12.4,10.2,0.5,15.9,0.491935484
18,2,41,41,28.6,5.3,13.2,2.5,0.1,15.4,0.401515152
18,3,82,82,30.5,6,11.7,13.5,1.9,13.8,0.512820513
18,4,28,28,32.1,5.5,14,7.2,1.7,13.1,0.392857143
18,5,82,82,31.6,4.8,11.9,3.1,0.2,12.7,0.403361345
18,6,60,0,24.4,3.7,8.9,1.7,0.1,11.1,0.415730337
18,7,54,13,23.8,3.5,8.5,1.9,0,10.6,0.411764706
18,8,52,11,22.3,2.6,6.1,3.7,0.3,7.7,0.426229508
18,9,23,7,24.8,3,7,4.2,0.3,7.3,0.428571429
18,10,54,40,23.8,2.6,6.5,2.6,0.3,7.1,0.4
18,11,78,21,20.8,2.1,5.1,2.5,0.1,5.9,0.411764706
18,12,46,0,15.3,2,4.3,3.1,0.2,5.2,0.465116279
18,13,21,0,13,2,5,0.8,0,4.7,0.4
18,14,34,1,13.5,1.5,5,1.4,0.2,4.3,0.3
18,15,3,0,6,1.7,4,1.3,0,3.7,0.425
18,16,4,0,14.5,1.3,5,2,0.5,3,0.26
18,17,19,0,8.6,1,3.2,1.4,0.2,2.6,0.3125
18,18,49,0,8.3,0.7,1.3,1.9,1,1.8,0.538461538
18,19,23,0,8.7,0.7,2.3,0.9,0,1.6,0.304347826
19,0,79,79,30.7,6.8,15.7,3.2,0.1,18.8,0.433121019
19,1,27,25,33.4,6.1,12.9,6.2,0.4,16.6,0.472868217
19,2,81,81,32.9,6.8,13.1,14.8,1.4,16.2,0.519083969
19,3,76,76,36.7,5.3,12.6,3.7,0.2,14.5,0.420634921
19,4,80,80,35.7,5.1,11.8,5.1,0.3,14.1,0.43220339
19,5,52,52,27.6,4.2,9.8,5.4,0.5,11.3,0.428571429
19,6,73,6,23.1,3.1,8.2,4.2,0.2,8.1,0.37804878
19,7,3,0,14.7,2.3,6.7,1.7,0,7.3,0.343283582
19,8,23,1,18.1,2.3,6.2,2,0.1,6.8,0.370967742
19,9,81,1,15.3,2.4,4.7,4.7,0.6,6.3,0.510638298
19,10,72,5,18.6,1.8,4.6,3.2,0.2,5.3,0.391304348
19,11,12,0,13.3,1.6,4.5,1.4,0,4.8,0.355555556
19,12,58,2,17,1.6,4.1,1.5,0.1,4.4,0.390243902
19,13,38,2,10.1,1.4,3.4,1.2,0,4,0.411764706
19,14,37,0,11.5,1.2,2.6,1.8,0.1,3.3,0.461538462
19,15,5,0,7,0.8,2,0.2,0,2.6,0.4
19,16,19,0,5,0.3,0.5,1.1,0.6,0.9,0.6
20,0,82,48,31.3,6.2,13,5.1,0.5,16.1,0.476923077
20,1,52,50,27.4,5.5,13,2.2,0.1,14.5,0.423076923
20,2,79,79,32.5,5.3,12.7,4.6,0.3,14,0.417322835
20,3,76,75,33.3,4.9,12.2,3.3,0.2,13.8,0.401639344
20,4,81,81,29.7,6,11.2,13.8,1.1,13.6,0.535714286
20,5,75,34,25.9,4.1,8.6,5.4,0.3,10.2,0.476744186
20,6,81,32,24.2,4.1,9.2,2.9,0.4,9.4,0.445652174
20,7,39,0,14.4,2.4,5.1,1.5,0,5.8,0.470588235
20,8,35,0,8.3,2.1,3.8,3.7,0.3,5.5,0.552631579
20,9,75,2,15.5,1.9,3.7,4.4,0.5,4.9,0.513513514
20,10,31,5,15,1.7,4.1,2.1,0.1,4.5,0.414634146
20,11,77,1,17.8,1.7,4.7,2.5,0.3,4.4,0.361702128
20,12,39,1,9.7,1.2,3.2,0.8,0.1,3.3,0.375
20,13,19,2,7.6,1.2,3.4,2.2,0.1,3.2,0.352941176
20,14,9,0,3.4,0.1,1.1,0.3,0,0.4,0.090909091
21,0,79,79,35,6.8,15.9,5.4,0.8,20.5,0.427672956
21,1,79,79,29.9,5,11,2.8,0.2,13.2,0.454545455
21,2,81,80,27.7,5.1,11,7.5,1.8,12.7,0.463636364
21,3,61,44,27.6,3.9,8.5,4.5,0.5,11.2,0.458823529
21,4,70,29,21.9,4.1,8.8,5.2,0.2,11,0.465909091
21,5,67,21,26.2,3.2,7.7,3.2,0.5,9.1,0.415584416
21,6,61,19,20.7,2.9,6.5,3.7,0.4,7.8,0.446153846
21,7,72,51,22.2,2.9,5.4,5.3,0.8,7.4,0.537037037
21,8,50,0,16,2.3,6.4,1.4,0,6.5,0.359375
21,9,45,2,13.1,2.2,4.8,1.4,0.2,6.3,0.458333333
21,10,41,3,18.9,2.2,5.8,2,0.2,5.4,0.379310345
21,11,49,0,17.1,1.7,4.9,3,0.1,4.9,0.346938776
21,12,39,0,13.5,1.3,3.1,2.9,0.6,3.6,0.419354839
21,13,56,3,16.8,1.4,3,6.3,0.6,3.3,0.466666667
21,14,12,0,9.6,1.1,3.3,1.5,0,3.1,0.333333333
22,0,62,62,33.3,6.3,15.2,5,0.6,18.7,0.414473684
22,1,65,65,29.8,5.1,10.3,8.8,2,12.8,0.495145631
22,2,66,66,29.2,5.3,10.8,6.6,0.7,12.8,0.490740741
22,3,66,66,29.7,4.3,9.7,5.6,0.6,12.1,0.443298969
22,4,60,56,31.3,3.8,8.7,3.1,0.2,10.4,0.436781609
22,5,50,9,25.5,3.4,7.6,3,0.3,9.6,0.447368421
22,6,66,0,21.8,2.9,7.3,4.4,0.1,9.3,0.397260274
22,7,22,0,19.8,3.3,8.3,2.2,0,8.9,0.397590361
22,8,65,3,16.2,1.8,4.3,1.8,0.2,5.3,0.418604651
